"1","Hi ","4","2019-06-27","7","1","2"
"2","Hello","7","2019-06-27","4","1","2"
"3","How are you","4","2019-06-27","7","1","2"
"4","I am fine , your project looks good ","7","2019-06-27","4","1","2"
"5","Great Lets start work ","4","2019-06-27","7","1","2"
"6","Hi Can you start work from monday","12","2019-07-30","17","7","9"
"7","Yes Sure ","17","2019-07-30","12","7","9"
"8","Thanks","12","2019-07-30","17","7","9"
"9","Hi I think the proposal is expensive ","4","2019-07-21","13","11","11"
"10","How much do you want to reduce ?","13","2019-07-21","4","11","11"
"11","Maybe by 20%","4","2019-07-21","13","11","11"
"12","Ok Sure","13","2019-07-21","4","11","11"
"13","Thanks","4","2019-07-22","13","11","11"
"14","What kinds of projects have you worked ?","4","2019-07-20","17","11","12"
"15","Similar kind is our speciality ","17","2019-07-20","4","11","12"
"16","Ok , Please proceed ","4","2019-07-21","17","11","12"
"17","Good Morning Sir ","75","2019-07-20","62","71","81"
"18","Good Morning, When can you begin work ?","62","2019-07-20","75","71","81"
"19","No, I have pending work I can begin on Sunday","75","2019-07-20","62","71","81"
"20","Sure Then please do you have my permission ","62","2019-07-22","75","71","81"
"21","Can you show me your portfolio","75","2019-07-20","64","71","82"
"22","Sure Please see my personal website ","64","2019-07-20","75","71","82"
"23","Hi which country are you from ?","75","2019-07-20","64","71","82"
"24","I am from Canada ","64","2019-07-21","75","71","82"
"25","Hello Sir Good evening ","89","2019-07-10","65","74","83"
"26","Hi How are you ","65","2019-07-10","89","74","83"
"27","Fine, I looked at your reviews they are great","89","2019-07-10","65","74","83"
"28","Thanks ","65","2019-07-10","89","74","83"
"29","Can you please reduce the cost for me by 20%","89","2019-07-10","65","74","83"
"30","yes sure, why not ","65","2019-07-10","89","74","83"
"31","Ok then Please proceed work on Tuesday ","89","2019-07-10","65","74","83"
"32","I have a pending work on Tuesday ","65","2019-07-10","89","74","83"
"33","The latest I can begin is on Friday ","89","2019-07-10","65","74","83"
"34","Friday is too late for me","65","2019-07-10","89","74","83"
"35","Ok then Find another freelancer ","89","2019-07-10","65","74","83"
"36","Ok sure. ","65","2019-07-10","89","74","83"
"37","Hello, Which country are you from ?","90","2019-08-09","68","75","84"
"38","Hi I am from Isarael ","68","2019-08-09","90","75","84"
"39","Ok, That is Nice ,So What is your experience","90","2019-08-09","68","75","84"
"40","working in Data Science for 10 years","68","2019-08-09","90","75","84"
"41","Wow, you are an expert ","90","2019-08-09","68","75","84"
"42","Yes, If you want to say so","68","2019-08-09","90","75","84"
"43","Ok, I will gladly pay you the amount ","90","2019-08-09","68","75","84"
"44","sure","68","2019-08-09","90","75","84"
"45","But I expect a great Quality work from you ","90","2019-08-09","68","75","84"
"46","Yes, I can deliver the best ","68","2019-08-09","90","75","84"
"47","Try to finish within Deadline ","90","2019-08-09","68","75","84"
"48","Sure, Will Do ","68","2019-08-09","90","75","84"
"49","Thanks ","90","2019-08-09","68","75","84"
"50","Hello, How are you","26","2019-05-17","86","76","85"
