"1"," Great Work! I loved it","2019-09-25","3","77","28","67"
"2"," Fantastic !!","2019-09-24","4","97","39","21"
"3","Hard Worker ","2019-09-23","5","99","36","82"
"4"," Impressed","2019-09-23","4","100","32","84"
"5","Will definitely work next time ","2019-09-21","4","3","14","30"
"6"," Would recommend this freelancer to anyone","2019-09-20","4","4","26","38"
"7"," Great Knowledge","2019-09-19","4","12","8","44"
"8"," Surprised by the results","2019-09-18","5","24","14","45"
"9"," So Good","2019-09-17","5","25","26","46"
"10"," It was Great","2019-09-16","5","32","83","48"
"11"," Nice !!!","2019-09-15","5","44","14","51"
"12"," Naiceeeee!!! ","2019-09-14","5","45","26","53"
"13"," Very thorough","2019-09-13","5","52","8","54"
"14"," Understood the problem very well","2019-09-12","5","64","68","58"
"15","Will definitely hire in my company ","2019-09-11","5","65","26","63"
"16"," I did not expect it to be this good","2019-09-10","5","72","88","67"
"17"," Great Delivery","2019-09-09","5","84","29","80"
"18"," Thanks ! It was good","2019-09-08","4","85","85","82"
"19"," Took a little longer than I expected","2019-09-07","4","92","71","84"
"20"," Bit expensive","2019-09-06","4","77","67","28"
"21"," Okay!! ","2019-09-05","4","97","21","39"
"22","Well, it works !!  ","2019-09-04","4","99","82","36"
"23"," Satisfied, Nothing more","2019-09-03","4","100","84","32"
"24"," I was expecting more","2019-09-02","4","3","30","14"
"25"," Satisfactory Performance","2019-09-01","4","4","38","26"
"26"," Will do future projects also ","2019-09-02","5","12","44","8"
"27","Better then any company out there","2019-09-03","5","24","45","14"
"28"," Will be working in the future as well","2019-09-04","5","25","46","26"
"29"," Faster than I expected","2019-09-05","5","32","48","83"
"30"," Very professional","2019-09-06","5","44","51","14"
"31"," I could do better myself","2019-09-07","3","45","53","26"
"32"," Expected much more than this","2019-09-08","3","52","54","8"
"33","Only this point for the effort ","2019-09-09","3","64","58","68"
"34"," My high school project was better","2019-09-10","3","65","63","26"
"35","A little expensive","2019-09-11","3","72","67","88"
"36","Good enough","2019-09-12","3","84","80","29"
"37","Not that great to be honest","2019-09-13","3","85","82","85"
"38"," Wow !!","2019-09-14","5","92","84","71"
